Store_ID,Home_Hub_ID,City
ST005,HUB-DEL,Gurgaon
ST064,HUB-BLR,Koramangala
ST019,HUB-DEL,Kanpur
ST001,HUB-DEL,Delhi
ST029,HUB-DEL,Patna
ST073,HUB-BLR,Tirupati
ST011,HUB-DEL,Jaipur
ST035,HUB-BOM,Pune
ST013,HUB-DEL,Agra
ST056,HUB-BOM,Rajkot
ST066,HUB-BLR,Hyderabad
ST032,HUB-DEL,Jodhpur
ST010,HUB-DEL,Jaipur
ST046,HUB-BOM,Nasik
ST006,HUB-DEL,Gurgaon
ST023,HUB-DEL,Dehradun
ST058,HUB-BOM,Panji
ST051,HUB-BOM,Raipur
ST034,HUB-BOM,Pune
ST040,HUB-BOM,Ahmedabad
ST071,HUB-BLR,Coimbatore
ST017,HUB-DEL,Chandigarh
ST036,HUB-BOM,Thane
ST045,HUB-BOM,Nasik
ST062,HUB-BLR,Koramangala
ST008,HUB-DEL,Noida
ST057,HUB-BOM,Panji
ST043,HUB-BOM,Surat
ST031,HUB-DEL,Jodhpur
ST048,HUB-BOM,Nagpur
ST050,HUB-BOM,Bhopal
ST020,HUB-DEL,Kanpur
ST060,HUB-BLR,Chennai
ST026,HUB-DEL,Lucknow
ST041,HUB-BOM,Ahmedabad
ST014,HUB-DEL,Agra
ST054,HUB-BOM,Indore
ST004,HUB-DEL,Gurgaon
ST018,HUB-DEL,Chandigarh
ST039,HUB-BOM,Ahmedabad
ST009,HUB-DEL,Noida
ST059,HUB-BLR,Chennai
ST007,HUB-DEL,Noida
ST037,HUB-BOM,Thane
ST068,HUB-BLR,Kochi
ST055,HUB-BOM,Rajkot
ST047,HUB-BOM,Nagpur
ST072,HUB-BLR,Tirupati
ST016,HUB-DEL,Mathura
ST028,HUB-DEL,Kota
ST042,HUB-BOM,Surat
ST027,HUB-DEL,Kota
ST049,HUB-BOM,Bhopal
ST025,HUB-DEL,Lucknow
ST063,HUB-BLR,Koramangala
ST067,HUB-BLR,Hyderabad
ST012,HUB-DEL,Jaipur
ST033,HUB-BOM,Pune
ST070,HUB-BLR,Coimbatore
ST065,HUB-BLR,Hyderabad
ST038,HUB-BOM,Thane
ST030,HUB-DEL,Patna
ST044,HUB-BOM,Surat
ST069,HUB-BLR,Kochi
ST002,HUB-DEL,Delhi
ST053,HUB-BOM,Indore
ST022,HUB-DEL,Bikaner
ST003,HUB-DEL,Delhi
ST024,HUB-DEL,Dehradun
ST021,HUB-DEL,Bikaner
ST061,HUB-BLR,Chennai
ST015,HUB-DEL,Mathura
ST052,HUB-BOM,Raipur
