SKU,Product_Name,Category,Sub_Category,Weight_kg,Volume_cbm,Base_Demand_Min,Base_Demand_Max,Avg_Daily_Demand,ROP,Target_Level
SKU0001,Apex Leather Loafers,Shoes,Leather Loafers,0.88,0.015,3,10,5.2,54,90
SKU0002,Aura Analog Watch,Accessories,Analog Watch,0.71,0.0032,8,25,13.200000000000001,136,228
SKU0003,Eon Analog Watch,Accessories,Analog Watch,0.2,0.0093,8,25,13.200000000000001,136,228
SKU0004,Nova Leather Loafers,Shoes,Leather Loafers,1.47,0.0126,3,10,5.2,54,90
SKU0005,Eon Leather Handbag,Accessories,Leather Handbag,0.86,0.0106,8,25,13.200000000000001,136,228
SKU0006,Zoya Silk Anarkali,Dress,Silk Anarkali,0.99,0.0052,5,15,8.0,82,138
SKU0007,Eon Leather Handbag,Accessories,Leather Handbag,0.54,0.0031,8,25,13.200000000000001,136,228
SKU0008,Orion Ethnic Juttis,Shoes,Ethnic Juttis,0.56,0.0138,3,10,5.2,54,90
SKU0009,Elara Cotton Kurta,Dress,Cotton Kurta,1.03,0.0079,5,15,8.0,82,138
SKU0010,Celeste Silver Jhumkas,Accessories,Silver Jhumkas,0.69,0.019,8,25,13.200000000000001,136,228
SKU0011,Elara Linen Shirt Dress,Dress,Linen Shirt Dress,1.17,0.0076,5,15,8.0,82,138
SKU0012,Eon Silver Jhumkas,Accessories,Silver Jhumkas,0.46,0.0138,8,25,13.200000000000001,136,228
SKU0013,Apex Block Heels,Shoes,Block Heels,0.62,0.0072,3,10,5.2,54,90
SKU0014,Orion Leather Loafers,Shoes,Leather Loafers,1.09,0.0051,3,10,5.2,54,90
SKU0015,Celeste Leather Handbag,Accessories,Leather Handbag,0.16,0.0016,8,25,13.200000000000001,136,228
SKU0016,Orion Leather Loafers,Shoes,Leather Loafers,0.78,0.0099,3,10,5.2,54,90
SKU0017,Luna Silver Jhumkas,Accessories,Silver Jhumkas,0.32,0.01,8,25,13.200000000000001,136,228
SKU0018,Vector Canvas Sneakers,Shoes,Canvas Sneakers,0.6,0.0093,3,10,5.2,54,90
SKU0019,Apex Block Heels,Shoes,Block Heels,1.36,0.0055,3,10,5.2,54,90
SKU0020,Aura Leather Handbag,Accessories,Leather Handbag,0.46,0.0074,8,25,13.200000000000001,136,228
SKU0021,Riya Silk Anarkali,Dress,Silk Anarkali,0.47,0.0047,5,15,8.0,82,138
SKU0022,Nova Canvas Sneakers,Shoes,Canvas Sneakers,0.96,0.0137,3,10,5.2,54,90
SKU0023,Aanya Georgette Saree,Dress,Georgette Saree,0.35,0.008,5,15,8.0,82,138
SKU0024,Riya Cotton Kurta,Dress,Cotton Kurta,0.45,0.0049,5,15,8.0,82,138
